"","GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"1","Shot Chart Detail","0021800003","39","203507","Giannis Antetokounmpo","1610612749","Milwaukee Bucks","1","8","35","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",3,-3,34,"1","0",2018-10-17,"CHA","MIL"
"2","Shot Chart Detail","0021800003","55","203507","Giannis Antetokounmpo","1610612749","Milwaukee Bucks","1","7","52","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,6,10,"1","1",2018-10-17,"CHA","MIL"
"3","Shot Chart Detail","0021800003","59","203507","Giannis Antetokounmpo","1610612749","Milwaukee Bucks","1","7","26","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,-14,20,"1","0",2018-10-17,"CHA","MIL"
"4","Shot Chart Detail","0021800003","70","203507","Giannis Antetokounmpo","1610612749","Milwaukee Bucks","1","6","19","Missed Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",26,-131,235,"1","0",2018-10-17,"CHA","MIL"
"5","Shot Chart Detail","0021800003","150","203507","Giannis Antetokounmpo","1610612749","Milwaukee Bucks","1","0","53","Missed Shot","Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",4,36,33,"1","0",2018-10-17,"CHA","MIL"
"6","Shot Chart Detail","0021800003","201","203507","Giannis Antetokounmpo","1610612749","Milwaukee Bucks","2","9","38","Missed Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",26,26,259,"1","0",2018-10-17,"CHA","MIL"
"7","Shot Chart Detail","0021800003","210","203507","Giannis Antetokounmpo","1610612749","Milwaukee Bucks","2","8","52","Made Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,4,8,"1","1",2018-10-17,"CHA","MIL"
"8","Shot Chart Detail","0021800003","237","203507","Giannis Antetokounmpo","1610612749","Milwaukee Bucks","2","7","21","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,4,16,"1","1",2018-10-17,"CHA","MIL"
"9","Shot Chart Detail","0021800003","374","203507","Giannis Antetokounmpo","1610612749","Milwaukee Bucks","3","11","21","Made Shot","Finger Roll Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",4,1,46,"1","1",2018-10-17,"CHA","MIL"
"10","Shot Chart Detail","0021800003","448","203507","Giannis Antetokounmpo","1610612749","Milwaukee Bucks","3","10","59","Missed Shot","Driving Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",7,41,60,"1","0",2018-10-17,"CHA","MIL"
"11","Shot Chart Detail","0021800003","377","203507","Giannis Antetokounmpo","1610612749","Milwaukee Bucks","3","10","57","Missed Shot","Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",6,16,59,"1","0",2018-10-17,"CHA","MIL"
"12","Shot Chart Detail","0021800003","482","203507","Giannis Antetokounmpo","1610612749","Milwaukee Bucks","3","2","30","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",7,6,71,"1","1",2018-10-17,"CHA","MIL"
"13","Shot Chart Detail","0021800003","486","203507","Giannis Antetokounmpo","1610612749","Milwaukee Bucks","3","2","3","Made Shot","Fadeaway Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",6,-9,68,"1","1",2018-10-17,"CHA","MIL"
"14","Shot Chart Detail","0021800003","495","203507","Giannis Antetokounmpo","1610612749","Milwaukee Bucks","3","0","57","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-5,13,"1","1",2018-10-17,"CHA","MIL"
"15","Shot Chart Detail","0021800003","551","203507","Giannis Antetokounmpo","1610612749","Milwaukee Bucks","4","10","16","Made Shot","Driving Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,6,13,"1","1",2018-10-17,"CHA","MIL"
