"","Player","Age","Signed_Using","2019-20","FGM","FGA","FGP","3PM","3PA","3PP","FTM","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1","Kemba Walker",29,"",34379100,8.91,20.54,0.43,3.17,8.91,0.36,4.63,5.49,0.84,0.63,3.77,4.4,5.9,1.24,0.41,2.57,1.6,25.63
"2","Gordon Hayward",29,"Cap space",32700690,4.11,8.82,0.47,1.07,3.21,0.33,2.17,2.6,0.83,0.71,3.76,4.47,3.39,0.86,0.32,1.46,1.44,11.46
"3","Marcus Smart",25,"",12553471,2.99,7.09,0.42,1.57,4.33,0.36,1.3,1.61,0.81,0.71,2.21,2.92,4.01,1.79,0.35,1.54,2.51,8.85
"4","Jayson Tatum",21,"1st Round Pick",7830000,5.9,13.11,0.45,1.47,3.94,0.37,2.47,2.89,0.86,0.89,5.15,6.04,2.13,1.06,0.72,1.54,2.13,15.73
"5","Jaylen Brown",22,"1st Rd pick",6534829,4.97,10.7,0.46,1.28,3.73,0.34,1.8,2.73,0.66,0.88,3.35,4.23,1.35,0.93,0.43,1.34,2.51,13.03
"6","Daniel Theis",27,"",5e+06,2.21,4.03,0.55,0.39,1.02,0.39,0.85,1.15,0.74,1.32,2.09,3.41,1.03,0.32,0.64,0.5,2.44,5.67
"7","Enes Kanter",27,"Room Exception",4767000,5.6,10.19,0.55,0.15,0.51,0.29,2.31,2.94,0.79,3.84,6,9.84,1.73,0.48,0.39,1.76,2.49,13.66
"12","Semi Ojeleye",24,"",1618520,1.2,2.82,0.42,0.5,1.59,0.31,0.43,0.7,0.62,0.43,1.11,1.54,0.41,0.18,0.07,0.34,0.77,3.32
"13","Brad Wanamaker",30,"Minimum Salary",1445697,1.39,2.92,0.48,0.44,1.08,0.41,0.67,0.78,0.86,0.08,1.06,1.14,1.56,0.33,0.06,0.53,0.94,3.89
"15","Javonte Green",26,"Minimum Salary",898310,3.54,7.32,0.48,1.09,2.71,0.4,1.23,1.55,0.79,1.6,4.69,6.29,0.77,0.69,0.52,1.34,2.97,9.4
"17","Bryce Brown",22,"Minimum Salary",898310,1.69,4.24,0.4,0.32,1.26,0.26,0.61,0.81,0.75,0.65,1.85,2.5,1.23,0.54,0.49,0.62,2.41,4.31
"21","Guerschon Yabusele",23,"",3117240,0.85,1.88,0.45,0.22,0.68,0.32,0.37,0.54,0.68,0.56,0.73,1.29,0.37,0.2,0.17,0.37,0.78,2.29
"22","Demetrius Jackson",25,"",92857,1.33,2.5,0.53,0.33,1,0.33,0.67,0.67,1,0.33,0.17,0.5,0.83,0.33,0,0.17,0.67,3.67
