"","Player","Age","Signed_Using","2019-20","FGM","FGA","FGP","3PM","3PA","3PP","FTM","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1","Otto Porter",26,"Bird Rights",27250576,5.34,11.48,0.47,1.86,4.57,0.41,1.39,1.71,0.81,0.96,4.64,5.61,2.14,1.46,0.55,1.16,1.93,13.93
"2","Zach LaVine",24,"",19500000,8.41,18.02,0.47,1.9,5.1,0.37,4.95,5.95,0.83,0.63,4.03,4.67,4.49,0.95,0.41,3.41,2.22,23.68
"3","Thaddeus Young",31,"",12900000,5.47,10.38,0.53,0.63,1.8,0.35,1.07,1.67,0.64,2.37,4.09,6.46,2.52,1.52,0.44,1.52,2.4,12.64
"4","Tomáš Satoranský",27,"",1e+07,3.21,6.62,0.48,0.8,2.02,0.4,1.64,2,0.82,1.02,2.46,3.49,4.99,1.02,0.16,1.5,2.15,8.86
"6","Kris Dunn",25,"1st Round pick",5348007,4.67,11,0.42,0.74,2.09,0.35,1.2,1.5,0.8,0.41,3.65,4.07,6.02,1.48,0.46,2.26,3.61,11.28
"8","Lauri Markkanen",22,"1st Round Pick",5300400,6.58,15.29,0.43,2.31,6.38,0.36,3.27,3.75,0.87,1.42,7.62,9.04,1.44,0.71,0.63,1.63,2.35,18.73
"9","Wendell Carter",20,"1st Round Pick",5201400,4.09,8.43,0.49,0.14,0.73,0.19,2.02,2.55,0.79,1.98,5,6.98,1.77,0.59,1.32,1.48,3.45,10.34
"11","Ryan Arcidiacono",25,"",3e+06,2.31,5.16,0.45,1,2.68,0.37,1.1,1.26,0.87,0.33,2.37,2.7,3.32,0.8,0.05,0.78,2.11,6.72
"12","Chandler Hutchison",23,"1st Round Pick",2332320,2.18,4.75,0.46,0.32,1.14,0.28,0.52,0.86,0.61,0.7,3.5,4.2,0.77,0.52,0.14,0.57,1.34,5.2
"13","Luke Kornet",24,"Room Exception",2195122,2.33,6.15,0.38,1.52,4.2,0.36,0.83,1,0.83,0.61,2.33,2.93,1.17,0.59,0.91,0.54,0.89,7
