"","Player","Age","Signed_Using","2019-20","FGM","FGA","FGP","3PM","3PA","3PP","FTM","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1","Stephen Curry",31,"Bird Rights",40231758,9.16,19.42,0.47,5.13,11.74,0.44,3.81,4.16,0.92,0.65,4.7,5.35,5.23,1.33,0.36,2.78,2.41,27.26
"2","Klay Thompson",29,"",32742000,8.4,17.97,0.47,3.09,7.68,0.4,1.65,2.03,0.82,0.47,3.36,3.83,2.38,1.08,0.6,1.47,2.01,21.54
"3","D'Angelo Russell",23,"",27285000,8.14,18.73,0.43,2.89,7.84,0.37,1.98,2.53,0.78,0.65,3.23,3.89,6.95,1.23,0.25,3.12,1.74,21.14
"4","Draymond Green",29,"Bird Rights",18539130,2.85,6.39,0.45,0.71,2.5,0.28,0.95,1.38,0.69,0.91,6.38,7.29,6.88,1.44,1.06,2.56,2.98,7.36
"5","Kevon Looney",23,"",4629630,2.71,4.34,0.63,0.01,0.12,0.1,0.81,1.31,0.62,2.42,2.79,5.21,1.54,0.57,0.66,0.64,2.64,6.25
"6","Alec Burks",28,"Minimum Salary",2320044,3,7.41,0.41,0.95,2.62,0.36,1.81,2.2,0.82,0.47,3.2,3.67,2,0.61,0.33,1.02,1.42,8.77
"7","Willie Cauley-Stein",26,"",2177483,5.09,9.15,0.56,0.01,0.02,0.5,1.73,3.14,0.55,2.23,6.14,8.37,2.4,1.19,0.63,1.04,2.8,11.91
"9","Jacob Evans",22,"1st Round Pick",1925880,0.38,1.75,0.21,0,0.38,0,0,0,NA,0.12,1.38,1.5,1.25,0.38,0,0.75,1,0.75
"10","Omari Spellman",22,"1st Round Pick",1897800,2.13,5.3,0.4,0.96,2.78,0.34,0.7,0.98,0.71,1.57,2.65,4.22,1.02,0.57,0.54,0.67,1.46,5.91
"11","Glenn Robinson III",25,"",1882867,1.57,3.74,0.42,0.38,1.32,0.29,0.68,0.85,0.8,0.36,1.15,1.51,0.45,0.3,0.17,0.38,0.96,4.21
"12","Alfonzo McKinnie",27,"Minimum Salary",1588231,1.86,3.82,0.49,0.58,1.64,0.36,0.38,0.67,0.56,1.12,2.31,3.43,0.43,0.25,0.21,0.42,1.86,4.68
"17","Andrew Harrison",24,"Minimum Salary",NA,0.94,3.12,0.3,0.29,1.47,0.2,1,1.06,0.94,0.35,0.82,1.18,1.41,0.24,0.12,0.71,2,3.18
"20","Shaun Livingston",34,"",666667,1.7,3.28,0.52,0,0.03,0,0.62,0.8,0.78,0.66,1.17,1.83,1.78,0.48,0.42,0.59,1.16,4.03
