"","Player","Age","Signed_Using","2019-20","FGM","FGA","FGP","3PM","3PA","3PP","FTM","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1","Russell Westbrook",30,"Bird Rights",38178000,8.63,20.18,0.43,1.63,5.63,0.29,4.05,6.18,0.66,1.49,9.56,11.05,10.74,1.95,0.45,4.45,3.36,22.95
"2","James Harden",30,"Bird Rights",37800000,10.81,24.47,0.44,4.85,13.18,0.37,9.67,11,0.88,0.85,5.79,6.64,7.51,2.03,0.74,4.96,3.13,36.13
"4","Eric Gordon",30,"Cap Space",14057730,5.65,13.79,0.41,3.18,8.82,0.36,1.75,2.24,0.78,0.25,1.93,2.18,1.9,0.6,0.4,1.32,2.1,16.22
"5","P.J. Tucker",34,"MLE",8349039,2.52,6.38,0.4,1.78,4.72,0.38,0.5,0.72,0.69,1.48,4.37,5.84,1.17,1.61,0.48,0.77,3.07,7.33
"6","Danuel House",26,"MLE",3540000,3.03,6.46,0.47,1.9,4.56,0.42,1.44,1.82,0.79,0.64,2.95,3.59,1.03,0.54,0.28,0.9,2.05,9.38
"8","Gerald Green",33,"Minimum Salary",2564753,3.16,7.92,0.4,2.14,6.04,0.35,0.78,0.93,0.84,0.41,2.08,2.49,0.55,0.45,0.37,0.75,1.73,9.25
"9","Tyson Chandler",36,"Minimum Salary",2564753,1.11,1.8,0.62,0,0.02,0,0.93,1.58,0.59,1.67,3.91,5.58,0.67,0.38,0.42,0.76,2,3.15
"10","Thabo Sefolosha",35,"Minimum Salary",2564753,1.42,2.98,0.48,0.68,1.56,0.44,0.28,0.44,0.64,0.16,2.3,2.46,0.54,0.86,0.1,0.5,0.82,3.8
"11","Austin Rivers",27,"Minimum Salary",2174318,3.05,7.53,0.41,1.37,4.3,0.32,0.66,1.25,0.53,0.33,1.8,2.13,2.2,0.62,0.3,0.89,2.72,8.13
"12","Ben McLemore",26,"",1882867,1.32,3.37,0.39,0.89,2.16,0.41,0.42,0.63,0.67,0.16,0.74,0.89,0.21,0.32,0.16,0.26,1.16,3.95
"14","Gary Clark",24,"",1416852,0.98,2.96,0.33,0.8,2.71,0.3,0.14,0.14,1,0.47,1.8,2.27,0.35,0.39,0.51,0.14,0.92,2.9
"15","Isaiah Hartenstein",21,"MLE",1416852,0.71,1.46,0.49,0.07,0.21,0.33,0.39,0.5,0.79,0.75,0.93,1.68,0.54,0.25,0.43,0.46,2,1.89
"19","Troy Williams",24,"",122741,2.1,4.67,0.45,0.67,2.1,0.32,0.43,0.71,0.6,0.57,2.24,2.81,0.52,0.48,0.38,0.43,1.76,5.29
