"","Player","Age","Signed_Using","2019-20","FGM","FGA","FGP","3PM","3PA","3PP","FTM","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1","LeBron James",34,"",37436858,10.15,19.91,0.51,2.02,5.95,0.34,5.05,7.6,0.67,1.04,7.42,8.45,8.25,1.31,0.6,3.58,1.71,27.36
"2","Anthony Davis",26,"1st Round Pick",27093019,9.46,18.32,0.52,0.86,2.59,0.33,6.14,7.73,0.79,3.11,8.89,12,3.89,1.57,2.41,2,2.36,25.93
"3","Danny Green",32,"",14634146,3.66,7.88,0.47,2.48,5.44,0.46,0.46,0.55,0.84,0.75,3.21,3.96,1.57,0.91,0.66,0.94,2.14,10.26
"4","Kentavious Caldwell-Pope",26,"",8089282,3.96,9.22,0.43,1.84,5.3,0.35,1.67,1.93,0.87,0.59,2.32,2.9,1.34,0.89,0.16,0.79,1.67,11.44
"5","Avery Bradley",28,"Room Exception",4767000,3.94,9.65,0.41,1.37,3.89,0.35,0.68,0.79,0.86,0.68,2.1,2.78,2.41,0.65,0.25,1.41,2.65,9.92
"6","JaVale McGee",31,"",4e+06,5.33,8.55,0.62,0.01,0.16,0.08,1.28,2.03,0.63,2.6,4.95,7.55,0.69,0.63,1.97,1.44,2.77,11.96
"7","DeMarcus Cousins",29,"",3500000,5.93,12.37,0.48,0.87,3.17,0.27,3.53,4.8,0.74,1.43,6.8,8.23,3.57,1.33,1.47,2.4,3.63,16.27
"8","Quinn Cook",26,"",3e+06,2.76,5.93,0.46,1.09,2.7,0.4,0.27,0.35,0.77,0.3,1.82,2.12,1.57,0.27,0.04,0.68,1.24,6.88
"9","Alex Caruso",25,"",2750000,3.08,6.92,0.45,0.96,2,0.48,2.04,2.56,0.8,0.8,1.88,2.68,3.08,0.96,0.36,1.68,2.16,9.16
"10","Rajon Rondo",33,"",2564753,3.8,9.39,0.41,1.11,3.09,0.36,0.5,0.78,0.64,0.74,4.54,5.28,7.98,1.24,0.15,2.76,2.17,9.22
"11","Dwight Howard",33,"Minimum Salary",2564753,4.78,7.67,0.62,0,0,NA,3.22,5.33,0.6,2.67,6.56,9.22,0.44,0.78,0.44,1.78,3.78,12.78
"12","Jared Dudley",34,"Minimum Salary",2564753,1.71,4.05,0.42,0.9,2.56,0.35,0.54,0.78,0.7,0.58,2.05,2.63,1.41,0.61,0.27,0.73,2.22,4.86
"14","Kyle Kuzma",24,"1st Round Pick",1974600,7.09,15.53,0.46,1.83,6.03,0.3,2.69,3.57,0.75,0.86,4.6,5.46,2.54,0.59,0.37,1.9,2.43,18.69
