"","Player","Age","Signed_Using","2019-20","FGM","FGA","FGP","3PM","3PA","3PP","FTM","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1","Khris Middleton",28,"",30603448,6.57,14.91,0.44,2.32,6.16,0.38,2.81,3.35,0.84,0.65,5.34,5.99,4.3,1.04,0.09,2.26,2.23,18.27
"2","Giannis Antetokounmpo",24,"1st Round Pick",25842697,10.01,17.32,0.58,0.72,2.82,0.26,6.94,9.53,0.73,2.21,10.26,12.47,5.89,1.28,1.53,3.72,3.22,27.69
"3","Eric Bledsoe",29,"Bird Rights",15625000,6.03,12.45,0.48,1.59,4.83,0.33,2.27,3.03,0.75,1.05,3.59,4.64,5.51,1.49,0.37,2.12,2,15.91
"4","Brook Lopez",31,"",12093024,4.38,9.7,0.45,2.31,6.32,0.37,1.38,1.64,0.84,0.41,4.48,4.89,1.21,0.63,2.21,1.01,2.33,12.46
"5","George Hill",33,"",9133907,2.83,6.27,0.45,0.8,2.55,0.31,1.17,1.42,0.82,0.65,1.82,2.47,2.25,0.87,0.13,0.85,1.7,7.63
"6","Ersan Ilyasova",32,"MLE",7e+06,2.49,5.69,0.44,0.87,2.39,0.36,0.91,1.1,0.82,1.4,3.1,4.51,0.78,0.48,0.3,0.72,2.57,6.76
"7","Robin Lopez",31,"Room Exception",4767000,4.11,7.23,0.57,0.09,0.42,0.23,1.2,1.66,0.72,1.89,1.97,3.86,1.2,0.15,1.05,1.3,1.68,9.51
"8","D.J. Wilson",23,"1st Round Pick",2961120,2.17,5.23,0.41,0.96,2.65,0.36,0.54,0.98,0.55,0.94,3.69,4.62,1.08,0.38,0.42,0.67,1.77,5.83
"9","Donte DiVincenzo",22,"1st Round Pick",2905800,1.85,4.59,0.4,0.81,3.07,0.27,0.33,0.44,0.75,0.59,1.81,2.41,1.15,0.48,0.22,0.7,1.41,4.85
"10","Kyle Korver",38,"Minimum Salary",2564753,2.87,6.9,0.42,1.97,4.97,0.4,0.86,1.04,0.82,0.13,2.19,2.31,1.16,0.36,0.17,0.84,1.51,8.57
"11","Wesley Matthews",32,"",2564753,4.04,10.12,0.4,2.17,5.84,0.37,1.91,2.36,0.81,0.46,2,2.46,2.32,0.78,0.25,1.32,2.32,12.17
"12","Pat Connaughton",26,"",1723050,2.67,5.74,0.47,1.08,3.28,0.33,0.48,0.66,0.72,1,3.23,4.23,2,0.54,0.41,0.54,1.33,6.9
"13","Dragan Bender",21,"Minimum Salary",1678854,1.91,4.28,0.45,0.48,2.2,0.22,0.7,1.17,0.59,0.74,3.24,3.98,1.22,0.39,0.48,0.8,1.96,5
"14","Sterling Brown",24,"MLE",1618520,2.5,5.38,0.46,0.91,2.53,0.36,0.5,0.72,0.69,0.5,2.67,3.17,1.45,0.43,0.14,0.79,1.52,6.41
"18","Cameron Reynolds",24,"Two-Way Contract",108953,1.74,4.11,0.42,1.11,2.68,0.41,0.42,0.47,0.89,0.21,1.42,1.63,0.68,0.32,0.11,0.26,1.37,5
"19","Jaylen Adams",23,"Minimum Salary",1416852,1.12,3.24,0.35,0.74,2.18,0.34,0.21,0.26,0.78,0.32,1.44,1.76,1.91,0.41,0.15,0.82,1.32,3.18
"20","Frank Mason III",25,"Two-Way Contract",1378242,1.87,4.45,0.42,0.37,1.68,0.22,1.03,1.5,0.68,0.16,0.97,1.13,2.21,0.42,0.11,0.95,0.89,5.13
"22","Jon Leuer",30,"",3169348,1.61,2.76,0.58,0.02,0.27,0.09,0.56,0.76,0.74,0.66,1.71,2.37,0.34,0.29,0.1,0.56,1.46,3.8
