"","Player","Age","Signed_Using","2019-20","FGM","FGA","FGP","3PM","3PA","3PP","FTM","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1","Tobias Harris",27,"",31034483,7.45,15.29,0.49,1.9,4.79,0.4,3.24,3.74,0.87,0.84,7.02,7.87,2.79,0.62,0.45,1.84,2.24,20.05
"2","Al Horford",33,"",2.8e+07,5.69,10.63,0.54,1.07,2.99,0.36,1.15,1.4,0.82,1.76,4.97,6.74,4.16,0.87,1.26,1.5,1.85,13.6
"3","Joel Embiid",25,"1st Round Pick",27270000,9.06,18.73,0.48,1.23,4.11,0.3,8.16,10.14,0.8,2.5,11.11,13.61,3.66,0.72,1.91,3.53,3.3,27.52
"4","Josh Richardson",26,"Minimum Salary",10100000,5.79,14.05,0.41,2.25,6.3,0.36,2.73,3.16,0.86,0.74,2.86,3.6,4.08,1.08,0.47,1.55,2.74,16.56
"5","Ben Simmons",23,"1st Round pick",8113930,6.84,12.15,0.56,0,0.08,0,3.25,5.42,0.6,2.18,6.65,8.82,7.72,1.42,0.77,3.47,2.65,16.92
"6","Mike Scott",31,"",4767000,2.13,5.32,0.4,1.28,3.19,0.4,0.28,0.42,0.67,0.54,2.95,3.49,0.84,0.33,0.16,0.56,1.97,5.81
"7","Zhaire Smith",20,"1st Round Pick",3058800,2.33,5.67,0.41,1,2.67,0.38,1,1.33,0.75,0.5,1.67,2.17,1.67,0.33,0.33,1,1.33,6.67
"9","Trey Burke",26,"Minimum Salary",2028594,4.07,9.45,0.43,0.97,2.74,0.35,1.78,2.14,0.83,0.48,1.22,1.71,2.74,0.57,0.12,0.84,1,10.88
"10","Kyle O'Quinn",29,"Minimum Salary",2028594,1.53,3.02,0.51,0.02,0.27,0.08,0.38,0.47,0.81,0.64,2,2.64,1.24,0.2,0.56,0.69,1.51,3.47
"11","James Ennis",29,"",1882867,2.38,5.07,0.47,0.95,2.69,0.35,1,1.4,0.72,1.03,2.1,3.14,0.71,0.71,0.4,0.59,2.59,6.71
"12","Raul Neto",27,"Minimum Salary",1737145,2,4.35,0.46,0.54,1.62,0.33,0.76,0.89,0.85,0.16,1.51,1.68,2.51,0.38,0.11,0.95,1.32,5.3
"13","Jonah Bolden",23,"",1698450,1.82,3.68,0.49,0.77,2.18,0.35,0.3,0.61,0.48,1.07,2.68,3.75,0.91,0.39,0.89,0.82,2.25,4.7
"14","Furkan Korkmaz",22,"Minimum Salary",1620564,2.04,5.1,0.4,0.98,3,0.33,0.75,0.92,0.82,0.33,1.9,2.23,1.08,0.6,0.04,0.52,1.29,5.81
"15","Shake Milton",23,"Two-Way Contract",1455697,1.7,4.35,0.39,0.7,2.2,0.32,0.25,0.35,0.71,0.45,1.3,1.75,0.9,0.4,0.4,0.3,1.45,4.35
"20","Haywood Highsmith",22,"Minimum Salary",NA,0.8,2,0.4,0.2,1,0.2,0,0.4,0,0,1,1,0.4,0.2,0,0.2,0.2,1.8
